Problem Number,Directions,Problem,Solution,Alternate Solution,Common Core Category
587,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling a number greater than 2?,2/3,4/6,Statistics and Probability
588,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling an odd number?,1/2,3/6,Statistics and Probability
589,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling an even number?,1/2,3/6,Statistics and Probability
590,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling a 4 or a 5?,1/3,2/6,Statistics and Probability
591,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling a 5?,1/6,,Statistics and Probability
592,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling a prime number?,1/2,3/6,Statistics and Probability
593,Find the probability of rolling the specified outcome on one fair six-sided die.,A single die is rolled once. What is the probability of rolling a 7?,0,,Statistics and Probability
594,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on 5?,1/10,,Statistics and Probability
595,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on an odd number?,1/2,5/10,Statistics and Probability
596,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on a number greater than 3?,7/10,,Statistics and Probability
597,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on a number less than 5?,2/5,4/10,Statistics and Probability
598,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on a multiple of 3?,3/10,,Statistics and Probability
599,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on a multiple of 5?,1/5,2/10,Statistics and Probability
600,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on 13?,0,,Statistics and Probability
601,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of landing on a number greater than 1 but less than 9?,4/5,8/10,Statistics and Probability
602,Find the probability of landing on the specified outcome when a spinner with ten equal sections is spun once.,A spinner has numbers 1 through 10. What is the probability of not landing on 2?,9/10,,Statistics and Probability
603,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that the first coin lands on heads?",1/2,,Statistics and Probability
604,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that all three land on tails?",1/8,,Statistics and Probability
605,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that none land on heads?",1/8,,Statistics and Probability
606,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that at least one coin lands on tails?",7/8,,Statistics and Probability
607,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that exactly two coins land on heads?",3/8,,Statistics and Probability
608,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that all three land on the same side?",1/4,,Statistics and Probability
609,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that at least two coins do not land on tails?",1/2,,Statistics and Probability
610,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that the second coin lands tails and both the first and third coins land on heads?",1/8,,Statistics and Probability
611,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that at least two of the coins land on the same side?",1,,Statistics and Probability
612,Find the probability of the specified outcome when three fair coins are flipped at random.,"If three coins are flipped, what is the probability that at least one coin lands on heads and at least one lands on tails?",3/4,,Statistics and Probability
613,List the sample space for a 12-sided die labeled 1 through 12 that is rolled once.,Write all possible outcomes of the roll.,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}",,Statistics and Probability
614,Determine if two events are equally likely based on probability.,Is rolling an even number on a 12-sided die equally as likely as rolling an odd number? Yes or no.,Yes,,Statistics and Probability
615,Determine if two events are equally likely based on probability.,Is rolling a multiple of 2 equally as likely as rolling a multiple of 3 on a 12-sided die? Yes or no.,No,,Statistics and Probability
616,Determine if two events are equally likely based on probability.,Is rolling a number divisible by 3 equally as likely as rolling a number divisible by 5 on a 12-sided die? Yes or no.,No,,Statistics and Probability
617,Find the probability of rolling a 2 on a 12-sided die.,A 12-sided die labeled 1 through 12 is rolled once. What is the probability of rolling a 2?,1/12,,Statistics and Probability
618,Find the probability of rolling a 15 on a 12-sided die.,A 12-sided die labeled 1 through 12 is rolled once. What is the probability of rolling a 15?,0,,Statistics and Probability
619,Find the probability of rolling a 7 or 11 on a 12-sided die.,A 12-sided die labeled 1 through 12 is rolled once. What is the probability of rolling a 7 or an 11?,2/12,1/6,Statistics and Probability
620,Find the probability of rolling a single-digit number on a 12-sided die.,A 12-sided die labeled 1 through 12 is rolled once. What is the probability of rolling a single-digit number?,9/12,3/4,Statistics and Probability
621,Find the probability of rolling a double-digit number on a 12-sided die.,A 12-sided die labeled 1 through 12 is rolled once. What is the probability of rolling a double-digit number?,3/12,1/4,Statistics and Probability
622,"A basket contains 36 pieces of fruit: 12 Mangos, 9 Dragon Fruits, 5 Kiwis, 4 Pears, 3 Oranges, and 3 Pomegranates. ",One fruit was selected at random from the basket. What is the probability that the selected fruit is a Kiwi or a Pear?,1/4,9/36,Statistics and Probability
623,"A basket contains 36 pieces of fruit: 12 Mangos, 9 Dragon Fruits, 5 Kiwis, 4 Pears, 3 Oranges, and 3 Pomegranates. ",One fruit was selected at random from the basket. What is the probability of selecting a fruit that is not a Dragon Fruit or a Mango?,5/12,15/36,Statistics and Probability
624,"A basket contains 36 pieces of fruit: 12 Mangos, 9 Dragon Fruits, 5 Kiwis, 4 Pears, 3 Oranges, and 3 Pomegranates. ","One fruit was selected at random from the basket. What is the probability of selecting a fruit that is a Pomegranate, a Mango, or an Orange?",1/2,18/36,Statistics and Probability
625,"A basket contains 36 pieces of fruit: 12 Mangos, 9 Dragon Fruits, 5 Kiwis, 4 Pears, 3 Oranges, and 3 Pomegranates. ",One fruit was selected at random from the basket. What is the probability of selecting a fruit that is not a Pomegranate or a Dragon Fruit?,1/3,12/36,Statistics and Probability
626,"A basket contains 36 pieces of fruit: 12 Mangos, 9 Dragon Fruits, 5 Kiwis, 4 Pears, 3 Oranges, and 3 Pomegranates. ",One fruit was selected at random from the basket. What is the probability that a fruit selected at random is not a Pear?,8/9,32/36,Statistics and Probability
627,"A basket contains 36 pieces of fruit: 12 Mangos, 9 Dragon Fruits, 5 Kiwis, 4 Pears, 3 Oranges, and 3 Pomegranates. ",All of the mangos are removed from the basket. What is the probability of selecting a Kiwi now?,5/24,,Statistics and Probability
628,"A jar contains 30 marbles: 6 red, 5 blue, 3 yellow, 3 orange, 10 black, and 3 teal. ",A marble is selected from the jar at random. What is the probability of selecting a blue marble?,5/30,1/6,Statistics and Probability
629,"A jar contains 30 marbles: 6 red, 5 blue, 3 yellow, 3 orange, 10 black, and 3 teal. ",A marble is selected from the jar at random. What is the probability of selecting a black marble?,10/30,1/3,Statistics and Probability
630,"A jar contains 30 marbles: 6 red, 5 blue, 3 yellow, 3 orange, 10 black, and 3 teal. ",A marble is selected from the jar at random. What is the probability of selecting a red or yellow marble?,9/30,3/10,Statistics and Probability
631,"A jar contains 30 marbles: 6 red, 5 blue, 3 yellow, 3 orange, 10 black, and 3 teal. ",A marble is selected from the jar at random. What is the probability of selecting a marble that is not blue?,25/30,5/6,Statistics and Probability
632,"A jar contains 30 marbles: 6 red, 5 blue, 3 yellow, 3 orange, 10 black, and 3 teal. ",A marble is selected from the jar at random. What is the probability of selecting a purple marble?,0/30,0,Statistics and Probability
633,"A jar contains 30 marbles: 6 red, 5 blue, 3 yellow, 3 orange, 10 black, and 3 teal. ",A marble is selected from the jar at random. Which color is most likely to be selected?,Black,,Statistics and Probability
634,"A jar contains 30 marbles: 6 red, 5 blue, 3 yellow, 3 orange, 10 black, and 3 teal. ","If 20 purple marbles were added to the jar, what would be the probability of selecting a black marble at random from the jar?",10/50,1/5,Statistics and Probability
635,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. What is the probability of selecting a green gummy bear?,7/23,,Statistics and Probability
636,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. What is the probability of selecting a red gummy bear?,5/23,,Statistics and Probability
637,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. What is the probability of selecting a purple gummy bear?,2/23,,Statistics and Probability
638,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. What is the probability of selecting a blue gummy bear?,9/23,,Statistics and Probability
639,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. What is the probability of selecting a yellow gummy bear?,0/23,0,Statistics and Probability
640,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. Which color is most likely to be picked?,Blue,,Statistics and Probability
641,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. Which color is least likely to be picked?,Purple,,Statistics and Probability
642,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. What is the probability of selecting a purple or blue gummy bear?,11/23,,Statistics and Probability
643,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. What is the probability of selecting a red or green gummy bear?,12/23,,Statistics and Probability
644,"A bag contains 23 gummy bears: 7 green, 5 red, 2 purple, and 9 blue.",A gummy bear is selected from the bag at random. Are you more likely to pick a green or red gummy bear?,Green,,Statistics and Probability
